arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
aredis_om/model/model.py,funcao,op,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,name,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,tree,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,query_params,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,score_field_name,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,vector_field_name,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__eq__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__ne__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__lt__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,__le__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__gt__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__ge__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__mod__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__lshift__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__rshift__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,startswith,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,endswith,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,contains,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,expressions,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,model,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,knn,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,offset,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,limit,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,page_size,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,sort_fields,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,projected_fields,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,nocontent,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,return_as_dict,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_expression,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_query,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_pagination,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_model_cache,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,dict,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,copy,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,pagination,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,expression,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,query,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
aredis_om/model/model.py,funcao,validate_projected_fields,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
aredis_om/model/model.py,funcao,_validate_deep_field_path,5,8,7,11,13,18,35.6096,66.6079,3.4375,228.9647,12.7203,0.0222
